Date,Open,High,Low,Close,Adj Close,Volume
16-12-2009,94660.10889,95862.6,94382.61805,95484.195,95484.195,205
17-12-2009,95988.735,95988.735,92137.40889,93070.81611,93070.81611,422
18-12-2009,93407.17611,93777.16389,92314.00611,93407.17611,93407.17611,404
21-12-2009,92112.18805,94113.52389,91725.37611,92112.18805,92112.18805,248
22-12-2009,92103.78111,92280.36805,90396.75,91321.74,91321.74,480
23-12-2009,91935.60111,92044.91195,90817.2,91935.60111,91935.60111,168
24-12-2009,91826.28,92944.68111,91826.28,92843.76695,92843.76695,127
28-12-2009,93104.44389,93499.67305,92734.45611,93104.44389,93104.44389,350
29-12-2009,92246.73,92936.26389,92246.73,92246.73,92246.73,1038
30-12-2009,91784.235,92255.13695,91321.74,91784.235,91784.235,399
31-12-2009,92095.36389,93011.94695,91994.46,92095.36389,92095.36389,149
04-01-2010,93987.38889,94374.21111,92255.13695,93987.38889,93987.38889,184
05-01-2010,94021.02695,94727.385,93760.35,94021.02695,94021.02695,53
06-01-2010,95517.83305,95795.32389,94239.65889,95517.83305,95517.83305,363
07-01-2010,95282.37695,95282.37695,94954.42389,95282.37695,95282.37695,56
08-01-2010,95711.23389,95711.23389,94407.83889,95711.23389,95711.23389,54
11-01-2010,96762.35889,97645.30389,96114.87,96762.35889,96762.35889,177
12-01-2010,94929.20305,97308.94389,94786.24389,94929.20305,94929.20305,51
13-01-2010,95559.87805,95559.87805,94264.89,95559.87805,95559.87805,58
14-01-2010,95610.33,96358.73305,95257.15611,96081.23195,96081.23195,81
15-01-2010,95257.15611,95307.60805,94786.24389,95030.10695,95030.10695,50
19-01-2010,95837.36889,95837.36889,95063.745,95837.36889,95837.36889,22
20-01-2010,94458.30111,95273.97,93323.08611,93533.31111,93533.31111,28
21-01-2010,92726.03889,93129.675,91674.91389,92726.03889,92726.03889,99
22-01-2010,91590.82389,92112.18805,91069.47,91590.82389,91590.82389,58
25-01-2010,92095.36389,92095.36389,92095.36389,92095.36389,92095.36389,8
26-01-2010,92322.41305,92322.41305,92322.41305,92322.41305,92322.41305,4
27-01-2010,91187.19805,91187.19805,91187.19805,91187.19805,91187.19805,206694
28-01-2010,91473.10611,92137.40889,90245.38389,91119.92195,91119.92195,101168
29-01-2010,91237.65,91725.37611,90354.705,91069.47,91069.47,11456
01-02-2010,90901.29,93112.86111,90548.11611,92860.59111,92860.59111,2452
02-02-2010,93962.16805,94054.665,92515.81389,93962.16805,93962.16805,3326
03-02-2010,93827.62611,94592.84305,93222.17195,93457.62805,93457.62805,853
04-02-2010,93339.9,93398.75889,89051.31,89337.21805,89337.21805,1426
05-02-2010,88479.49389,89850.165,87890.86389,88479.49389,88479.49389,1956
08-02-2010,89614.70889,90262.20805,89269.94195,89614.70889,89614.70889,549
09-02-2010,90539.69889,90985.38,89396.07695,90539.69889,90539.69889,387
10-02-2010,90464.02611,90909.69695,89412.90111,90464.02611,90464.02611,640
11-02-2010,90548.11611,92255.13695,90447.20195,92011.27389,92011.27389,1491
12-02-2010,91616.055,91826.28,90800.38611,91616.055,91616.055,197
16-02-2010,94121.94111,94214.43805,91859.91805,94121.94111,94121.94111,928
17-02-2010,94138.755,94769.43,93213.765,94138.755,94138.755,1083
18-02-2010,94012.62,94491.92889,92566.27611,94012.62,94012.62,989
19-02-2010,94290.12111,94702.15389,92473.76889,94290.12111,94290.12111,137
22-02-2010,93558.53195,94803.06805,93339.9,93558.53195,93558.53195,124
23-02-2010,93878.07805,94037.85111,92717.63195,92726.03889,92726.03889,152
24-02-2010,92204.685,92204.685,92204.685,92204.685,92204.685,751
25-02-2010,93154.90611,93188.53389,91548.77889,93154.90611,93154.90611,386
26-02-2010,93070.81611,94037.85111,93070.81611,94037.85111,94037.85111,382
01-03-2010,94121.94111,94340.57305,93642.62195,93995.80611,93995.80611,184
02-03-2010,95601.92305,95643.96805,93819.20889,95601.92305,95601.92305,155
03-03-2010,96089.63889,96283.05,95332.82889,96089.63889,96089.63889,170
04-03-2010,95240.33195,95778.51,94903.97195,95240.33195,95240.33195,118
05-03-2010,95425.33611,95425.33611,95425.33611,95425.33611,95425.33611,129
08-03-2010,94483.52195,94483.52195,94483.52195,94483.52195,94483.52195,17
09-03-2010,94348.98,94517.16,93600.57695,94348.98,94348.98,27
10-03-2010,93154.90611,94777.83695,93079.22305,93154.90611,93154.90611,21
11-03-2010,93171.72,93171.72,93171.72,93171.72,93171.72,46
12-03-2010,92625.135,93962.16805,92490.59305,92625.135,92625.135,135
15-03-2010,92927.85695,93096.03695,92616.72805,92927.85695,92927.85695,21
16-03-2010,94365.79389,94769.43,93718.305,94365.79389,94365.79389,66
17-03-2010,94517.16,95139.42805,94012.62,94517.16,94517.16,29
18-03-2010,94803.06805,94836.70611,94273.29695,94803.06805,94803.06805,86
19-03-2010,93121.26805,93121.26805,93121.26805,93121.26805,93121.26805,54
22-03-2010,92440.14111,92440.14111,92440.14111,92440.14111,92440.14111,71
23-03-2010,92793.315,92793.315,92793.315,92793.315,92793.315,16
24-03-2010,91540.37195,91859.91805,91279.695,91540.37195,91540.37195,9
25-03-2010,91885.13889,91885.13889,91380.59889,91885.13889,91885.13889,8
26-03-2010,92852.17389,92852.17389,92852.17389,92852.17389,92852.17389,5
29-03-2010,93365.13111,93365.13111,93365.13111,93365.13111,93365.13111,158733
